[2];[0,1,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[0,1,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[0,1,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[0,1,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[0,1,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[0,1,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[0,1,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[0,2,3,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[6,4,1]
[2];[0,1,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[4,4,1]
[2];[0,2,3,4,5];[6,7,1];[0,566];[[0,474],[538,551],[545,558]];[6,4,1]
